id	filename	md5	size	state
932d5b31-2764-4610-88d7-df64e11eaf08	7eb0cbce-dc22-4121-ad0d-f453eba9ccac.mirbase21.mirnas.quantification.txt	0f4ceee5750cebb1fd939c9c0da9963b	50058	live
d1725749-5d8e-406f-bfc8-f16a5bd1b495	420b5b74-0f4f-43bf-ae30-082beb606642.mirbase21.mirnas.quantification.txt	8e02da150bdc6196bee5a9e7ea115108	50246	live
26c5b724-1bb4-496c-bb9b-80115506cc08	2f08093d-169f-49f4-b2de-ddc85dfb17f1.mirbase21.mirnas.quantification.txt	2efc46c9935e533a50f0a4f4bc6f9c10	50112	live
33be815c-67fb-49b1-a5da-b6386b1ca6e4	78c096b0-9888-42f1-9a4e-85cadd7aba3f.mirbase21.mirnas.quantification.txt	4c2455e18a55b78fbac35a9e922ebfe5	50285	live
f359d1f3-c8b1-40e3-908a-3aee2172c37e	c985b857-742b-403e-b194-fbe1b963f483.mirbase21.mirnas.quantification.txt	8a66569053dfbd040b60c6499f90248f	50293	live
ad688636-3ad8-4fc9-a9bd-e755d1854a37	2cb54a05-7959-4b9a-84c7-1bd2b9ba0b80.mirbase21.mirnas.quantification.txt	155639d073885095c5465f6a9cad5463	50120	live
36097260-414f-4ec8-8bfe-2bc202992d92	7836cbab-f289-4807-a0db-d413e59b4d81.mirbase21.mirnas.quantification.txt	98a3b909e4e438f4caa9062caf9a7169	50242	live
ecc612ad-d3ed-42e7-badf-6f73ae583ad6	fff7c44a-3f1e-4154-b3f1-ab85c639f16f.mirbase21.mirnas.quantification.txt	70d1fc5a2d8e5144d45e0d288c5f538d	50386	live
7f8a0a4f-41cd-4114-82d3-061e278b3d9a	f63832f6-6ad4-4ee7-adab-b736c238c78e.mirbase21.mirnas.quantification.txt	29cb771affceb26a230b4b264b6689b7	50380	live
cd34e13f-7ee8-408e-98e3-60e88f017c7c	59bcdb57-493e-4128-97bc-3517c51699ff.mirbase21.mirnas.quantification.txt	1ce3cb266fe4e6bfec1db5d20fac799b	50242	live
72c7f4bd-71f1-4b09-ade3-3ed185e42cfd	d88e2c26-c9c8-42e0-af86-d4b33ce46542.mirbase21.mirnas.quantification.txt	16462c90557d18a7b9f7eea7a600e52c	50260	live
7326ab4d-37c3-4a2d-a774-8138d72b2efc	7e481649-9a24-48c6-a029-2796e37f69fd.mirbase21.mirnas.quantification.txt	3b8ac8b17124e3d9947bcaf86496da7e	50033	live
bcaa8733-1dca-4e13-a3fe-1d07c803b129	d6d2d197-ef13-4d23-824c-4928994335fb.mirbase21.mirnas.quantification.txt	18385d9fb9413e189382325943695441	50304	live
02875479-ec9c-4ca0-bec2-39567c84b352	62629f9d-bd8c-4a16-8ab0-98abf9eecff9.mirbase21.mirnas.quantification.txt	0f527f2e656650bc163fe877c5e60bd8	50171	live
67733fca-4ccf-42d3-aead-0ba3c16c7251	37c22016-9d4a-431d-92ab-82a077cb459b.mirbase21.mirnas.quantification.txt	8829f6afd71d9feca9b28f4ccd5a1377	50239	live
b518d55b-8d9c-4a50-9d25-8b3cf72a9a09	228fa72f-5e2a-4ddd-8481-fa26a8c541c9.mirbase21.mirnas.quantification.txt	d4638cfb94dee49807b2a69590277910	50303	live
93f2cd6a-3a3f-4176-b1e8-d5350efb7a1f	afbf8288-72fe-435e-9734-f108a065c729.mirbase21.mirnas.quantification.txt	8244794b5f4ff718d31b8c1b7aefb3f8	50323	live
67a8abae-0012-4808-9156-eddccf6eba14	f65f20f4-3b22-4525-93f5-9149db700e84.mirbase21.mirnas.quantification.txt	8711c359ef34fe6cce60ee353e4fa28b	50142	live
6bebc3c1-48b9-4448-b20e-175fe3546b2d	0415c1b2-4e47-4c97-b60d-a3acd74c6a67.mirbase21.mirnas.quantification.txt	91ab69973fd36880edd871e346b35347	50206	live
23d98c2a-86b8-43c1-9709-9157ef0a8e3f	b70853ee-dc5b-4a5a-b7fc-6f225d3dbc44.mirbase21.mirnas.quantification.txt	3f47e44b49ab0507c875009473fbd90a	50065	live
324b1907-2f01-4e72-a363-e09feb5e359f	15e42ffa-a65f-44c8-8c63-26be27d8e2bb.mirbase21.mirnas.quantification.txt	34a592dc3e23d73a74af22944dca64fd	50243	live
f43c2695-dc6b-4eed-9567-0596542568a4	d12ce7fa-9313-49cf-a4cd-e2c564b07ac0.mirbase21.mirnas.quantification.txt	b860a1661a26dd32b60684d28461e51f	50116	live
0baf3f04-70ac-443f-8e5a-4f15f28da6e7	72ecc2a9-b16a-4343-b541-2f54e421efc8.mirbase21.mirnas.quantification.txt	b9073a9d455aa5bbe831598e4c091da2	50368	live
f39be285-eec1-40bf-9d94-60a9054ec653	eccda602-d4e6-41d1-b44d-81b10dc76c5a.mirbase21.mirnas.quantification.txt	1e01049fc59dca1a7f1a842dbf548b4c	50234	live
