id	filename	md5	size	state
60aec852-6075-4464-a0f3-eee105cdb24f	148d950b-4202-4f3f-be15-84735cd08a48.htseq.counts.gz	55199ed8fa96002d97f24085b5986b4c	256338	live
8dc57eac-45aa-4afd-8c6d-b2825b287f3d	a2233404-f380-4bd6-8770-0d4ba8998fd9.htseq.counts.gz	e15567e9a0eafeb5ae9c86c1300f4e17	250032	live
a9795a96-c066-467a-9568-bf7d5a4fea95	b2a6c9e3-65eb-43bd-849a-5829007379ab.FPKM-UQ.txt.gz	6e9416ae62175c9036c1d4e3d76397b1	536371	live
7a02938c-644c-487c-b508-ffc3a6afabe0	99c7b545-c90e-407f-9086-0ef8e108f973.FPKM.txt.gz	2e2a2206664b64d002911cc86d335d2e	497390	live
abe158c1-ba3c-470d-8eeb-ab9867aed874	1c860457-48e6-4a74-a455-e61bc10c6b32.FPKM-UQ.txt.gz	f73b44ea01cf7ef8c22d848d93d0f705	524100	live
5c69ac63-bf81-4512-a45a-848ac96908c9	96ddce60-2be5-4f57-814b-35722aa00fd9.FPKM.txt.gz	47baeeeb11ea3bd31665cf89aeb46170	547983	live
fe14aaa3-2747-49af-ade9-0beeafe79a39	1294d2f0-3a01-45b8-9e18-f5da4fbe8223.FPKM.txt.gz	55719321163c1ccb1c4c34dad1d32fab	494358	live
dde08ac9-3697-4c20-8131-c738d977de4e	24d7f10a-ac34-4f7e-8424-d2fc0d32ac58.FPKM.txt.gz	f06de421bf0d1f2b961e5d8a35338e9c	511446	live
bf21b5f9-b475-4c99-977a-9a5e8720f715	e512f861-c59f-4272-b528-7424a882c795.htseq.counts.gz	205879c16feda91e138531a847c9f2d1	254016	live
9a9e1d58-4137-49a2-a4ad-1d0e42697390	ee7d6b4b-a341-4a9b-9a3a-38526e749cdd.FPKM.txt.gz	cd7c1e8bacb292f63b1d026e9e6ef333	504961	live
a24ce3d5-f488-4e3e-833a-121e40f5c404	58d232f8-75a8-4981-9ccd-0530a31b4610.FPKM-UQ.txt.gz	12543fc88e5e01e38909741ce0383ba4	510561	live
e379c119-7e1d-489f-ad0f-ffb43ff20da2	bf9e1674-9f2c-4014-808a-1f3f7544e9df.FPKM.txt.gz	a3a1857c65d528cc9a66509ad2f1aae6	502722	live
ccb15017-295b-4e31-9b54-1e31d7ba8809	53a59278-dd3f-4678-bbee-a7c9aacff1a5.FPKM-UQ.txt.gz	2935bbbf02e0436d291f6f9011811f0b	503746	live
d5d98c44-ab54-4c6d-a936-54945c0f01e9	4ce3e99a-a195-414c-a967-7d3795d48934.FPKM.txt.gz	646053c9e7ce6bb1e87ebff12db29958	526489	live
23c298d2-2a74-4827-8922-c21ae9fa9ca2	79eee19f-5a9c-4e79-83ef-d6871ef4cb6f.htseq.counts.gz	ffe2192d2af42c12da73a745415f0cec	255794	live
5eda9a6a-4a93-4500-bd4a-9ef78e6aa506	67d71120-1690-412a-82f3-9bc921ad6b07.FPKM-UQ.txt.gz	9f74f92c0822a88733b4024333977015	529909	live
